

  default power settings:


=== Benchmarking multiTask ===
[04/23/2026-11:22:15] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 9.73 ms
FPS: 102.77
Avg actual time: -9.73 ms
avg actual fps: -102.77
individual runs:
from start time: 1776914538097.90 ms
run 81 | start time: 509.39 ms | finish: 515.70
run 82 | start time: 515.70 ms | finish: 521.95
run 83 | start time: 521.95 ms | finish: 528.05
run 84 | start time: 528.05 ms | finish: 534.11
run 85 | start time: 534.11 ms | finish: 540.44
run 86 | start time: 540.44 ms | finish: 546.59
run 87 | start time: 546.59 ms | finish: 552.57
run 88 | start time: 552.57 ms | finish: 558.86
run 89 | start time: 558.86 ms | finish: 564.99
run 90 | start time: 564.99 ms | finish: 570.96
run 91 | start time: 570.96 ms | finish: 577.26
run 92 | start time: 577.26 ms | finish: 583.46
run 93 | start time: 583.46 ms | finish: 589.83
run 94 | start time: 589.83 ms | finish: 596.11
run 95 | start time: 596.11 ms | finish: 602.43
run 96 | start time: 602.43 ms | finish: 608.72
run 97 | start time: 608.72 ms | finish: 614.87
run 98 | start time: 614.87 ms | finish: 620.86
run 99 | start time: 620.86 ms | finish: 627.15
run 100 | start time: 627.15 ms | finish: 633.41

=== Benchmarking depth ===
[04/23/2026-11:22:23] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 6.36 ms
FPS: 157.35
Avg actual time: -6.36 ms
avg actual fps: -157.35
individual runs:
from start time: 1776914545398.44 ms
run 1 | start time: 0.00 ms | finish: 6.37
run 2 | start time: 6.37 ms | finish: 12.48
run 3 | start time: 12.48 ms | finish: 18.48
run 4 | start time: 18.48 ms | finish: 24.61
run 5 | start time: 24.61 ms | finish: 30.66
run 6 | start time: 30.66 ms | finish: 36.61
run 7 | start time: 36.61 ms | finish: 42.54
run 8 | start time: 42.54 ms | finish: 48.56
run 9 | start time: 48.56 ms | finish: 54.58
run 10 | start time: 54.58 ms | finish: 60.62
run 11 | start time: 60.62 ms | finish: 66.79
run 12 | start time: 66.79 ms | finish: 72.86
run 13 | start time: 72.86 ms | finish: 79.04
run 14 | start time: 79.04 ms | finish: 85.26
run 15 | start time: 85.26 ms | finish: 91.44
run 16 | start time: 91.44 ms | finish: 97.76
run 17 | start time: 97.76 ms | finish: 104.06
run 18 | start time: 104.06 ms | finish: 110.32
run 19 | start time: 110.32 ms | finish: 116.50
run 20 | start time: 116.50 ms | finish: 122.65
run 21 | start time: 122.65 ms | finish: 128.98
run 22 | start time: 128.98 ms | finish: 135.36
run 23 | start time: 135.36 ms | finish: 141.82
run 24 | start time: 141.82 ms | finish: 148.24
run 25 | start time: 148.24 ms | finish: 154.80
run 26 | start time: 154.80 ms | finish: 161.13
run 27 | start time: 161.13 ms | finish: 169.37
run 28 | start time: 169.37 ms | finish: 176.02
run 29 | start time: 176.02 ms | finish: 182.42
run 30 | start time: 182.42 ms | finish: 188.59
run 31 | start time: 188.59 ms | finish: 195.08
run 32 | start time: 195.08 ms | finish: 201.49
run 33 | start time: 201.49 ms | finish: 207.86
run 34 | start time: 207.86 ms | finish: 214.23
run 35 | start time: 214.23 ms | finish: 220.58
run 36 | start time: 220.58 ms | finish: 227.00
run 37 | start time: 227.00 ms | finish: 233.36
run 38 | start time: 233.36 ms | finish: 239.76
run 39 | start time: 239.76 ms | finish: 246.15
run 40 | start time: 246.15 ms | finish: 252.50
run 41 | start time: 252.50 ms | finish: 258.95
run 42 | start time: 258.95 ms | finish: 265.38
run 43 | start time: 265.38 ms | finish: 271.74
run 44 | start time: 271.74 ms | finish: 278.09
run 45 | start time: 278.09 ms | finish: 284.45
run 46 | start time: 284.45 ms | finish: 290.92
run 47 | start time: 290.92 ms | finish: 297.30
run 48 | start time: 297.30 ms | finish: 303.68
run 49 | start time: 303.68 ms | finish: 310.12
run 50 | start time: 310.12 ms | finish: 316.53
run 51 | start time: 316.53 ms | finish: 322.98
run 52 | start time: 322.98 ms | finish: 329.39
run 53 | start time: 329.39 ms | finish: 335.77
run 54 | start time: 335.77 ms | finish: 342.24
run 55 | start time: 342.24 ms | finish: 348.57
run 56 | start time: 348.57 ms | finish: 354.98
run 57 | start time: 354.98 ms | finish: 361.60
run 58 | start time: 361.60 ms | finish: 367.69
run 59 | start time: 367.69 ms | finish: 374.95
run 60 | start time: 374.95 ms | finish: 381.57
run 61 | start time: 381.57 ms | finish: 388.07
run 62 | start time: 388.07 ms | finish: 394.34
run 63 | start time: 394.34 ms | finish: 400.80
run 64 | start time: 400.80 ms | finish: 407.21
run 65 | start time: 407.21 ms | finish: 413.31
run 66 | start time: 413.31 ms | finish: 419.47
run 67 | start time: 419.47 ms | finish: 425.78
run 68 | start time: 425.78 ms | finish: 431.91
run 69 | start time: 431.91 ms | finish: 438.33
run 70 | start time: 438.33 ms | finish: 444.76
run 71 | start time: 444.76 ms | finish: 451.24
run 72 | start time: 451.24 ms | finish: 457.65
run 73 | start time: 457.65 ms | finish: 463.86
run 74 | start time: 463.86 ms | finish: 470.24
run 75 | start time: 470.24 ms | finish: 476.61
run 76 | start time: 476.61 ms | finish: 483.09
run 77 | start time: 483.09 ms | finish: 489.50
run 78 | start time: 489.50 ms | finish: 496.08
run 79 | start time: 496.08 ms | finish: 502.21
run 80 | start time: 502.21 ms | finish: 508.59
run 81 | start time: 508.59 ms | finish: 514.91
run 82 | start time: 514.91 ms | finish: 521.03
run 83 | start time: 521.03 ms | finish: 527.55
run 84 | start time: 527.55 ms | finish: 538.19
run 85 | start time: 538.19 ms | finish: 544.49
run 86 | start time: 544.49 ms | finish: 551.42
run 87 | start time: 551.42 ms | finish: 559.50
run 88 | start time: 559.50 ms | finish: 565.85
run 89 | start time: 565.85 ms | finish: 571.76
run 90 | start time: 571.76 ms | finish: 577.63
run 91 | start time: 577.63 ms | finish: 583.42
run 92 | start time: 583.42 ms | finish: 589.18
run 93 | start time: 589.18 ms | finish: 595.00
run 94 | start time: 595.00 ms | finish: 600.80
run 95 | start time: 600.80 ms | finish: 606.61
run 96 | start time: 606.61 ms | finish: 612.39
run 97 | start time: 612.39 ms | finish: 618.17
run 98 | start time: 618.17 ms | finish: 623.93
run 99 | start time: 623.93 ms | finish: 629.76
run 100 | start time: 629.76 ms | finish: 635.52

=== Summary ===
multiTask  | 102.77 FPS |   9.73 ms
det        | 188.83 FPS |   5.30 ms
seg        | 157.87 FPS |   6.33 ms
depth      | 157.35 FPS |   6.36 ms


---results under 10w power constraints:


=== Benchmarking multiTask ===
[04/23/2026-11:26:56] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 12.61 ms
FPS: 79.28
Avg actual time: -12.61 ms
avg actual fps: -79.28
individual runs:
from start time: 1776914821261.37 ms
run 1 | start time: 0.00 ms | finish: 13.61
run 2 | start time: 13.61 ms | finish: 27.17
run 3 | start time: 27.17 ms | finish: 40.56
run 4 | start time: 40.56 ms | finish: 54.05
run 5 | start time: 54.05 ms | finish: 67.37
run 6 | start time: 67.37 ms | finish: 80.67
run 7 | start time: 80.67 ms | finish: 93.98
run 8 | start time: 93.98 ms | finish: 107.29
run 9 | start time: 107.29 ms | finish: 120.51
run 10 | start time: 120.51 ms | finish: 133.83
run 11 | start time: 133.83 ms | finish: 147.15
run 12 | start time: 147.15 ms | finish: 161.05
run 13 | start time: 161.05 ms | finish: 175.23
run 14 | start time: 175.23 ms | finish: 188.53
run 15 | start time: 188.53 ms | finish: 202.03
run 16 | start time: 202.03 ms | finish: 215.89
run 17 | start time: 215.89 ms | finish: 229.27
run 18 | start time: 229.27 ms | finish: 242.92
run 19 | start time: 242.92 ms | finish: 256.43
run 20 | start time: 256.43 ms | finish: 270.59
run 21 | start time: 270.59 ms | finish: 284.16
run 22 | start time: 284.16 ms | finish: 297.89
run 23 | start time: 297.89 ms | finish: 311.39
run 24 | start time: 311.39 ms | finish: 324.77
run 25 | start time: 324.77 ms | finish: 338.22
run 26 | start time: 338.22 ms | finish: 351.56
run 27 | start time: 351.56 ms | finish: 365.28
run 28 | start time: 365.28 ms | finish: 379.26
run 29 | start time: 379.26 ms | finish: 392.61
run 30 | start time: 392.61 ms | finish: 406.02
run 31 | start time: 406.02 ms | finish: 419.35
run 32 | start time: 419.35 ms | finish: 432.68
run 33 | start time: 432.68 ms | finish: 446.03
run 34 | start time: 446.03 ms | finish: 459.31
run 35 | start time: 459.31 ms | finish: 472.64
run 36 | start time: 472.64 ms | finish: 486.00
run 37 | start time: 486.00 ms | finish: 499.35
run 38 | start time: 499.35 ms | finish: 512.67
run 39 | start time: 512.67 ms | finish: 531.12
run 40 | start time: 531.12 ms | finish: 548.80
run 41 | start time: 548.80 ms | finish: 562.97
run 42 | start time: 562.97 ms | finish: 576.36
run 43 | start time: 576.36 ms | finish: 589.70
run 44 | start time: 589.70 ms | finish: 603.00
run 45 | start time: 603.00 ms | finish: 616.26
run 46 | start time: 616.26 ms | finish: 629.73
run 47 | start time: 629.73 ms | finish: 643.14
run 48 | start time: 643.14 ms | finish: 656.49
run 49 | start time: 656.49 ms | finish: 670.24
run 50 | start time: 670.24 ms | finish: 683.58
run 51 | start time: 683.58 ms | finish: 696.92
